iter	Logloss
0	0.6574826306
1	0.6234302025
2	0.5925392542
3	0.5659461768
4	0.5418667161
5	0.5233372314
6	0.5071071068
7	0.4904720502
8	0.4756071829
9	0.4628267126
10	0.4508930587
11	0.4417641127
12	0.4324715964
13	0.4234484078
14	0.4162570881
15	0.4103163172
16	0.4031609376
17	0.3952615246
18	0.3900317176
19	0.3868330246
20	0.3836338198
21	0.3806007696
22	0.3766158828
23	0.3744745523
24	0.369780775
25	0.366032897
26	0.3629992617
27	0.361148986
28	0.3585528967
29	0.3568957346
30	0.3545629063
31	0.3532286889
32	0.3505905246
33	0.3492590905
34	0.3471925584
35	0.3452767971
36	0.3440639784
37	0.3426378932
38	0.3412326105
39	0.3402097343
40	0.3384404922
41	0.3373396611
42	0.3358469351
43	0.3343066281
44	0.3335878197
45	0.3324705888
46	0.3317327188
47	0.3306575988
48	0.3296921759
49	0.3285752668
50	0.3277055103
51	0.3269835083
52	0.3262623477
53	0.3253124259
54	0.3247196222
55	0.3236800883
56	0.3230757019
57	0.3222885209
58	0.3217983986
59	0.3209227349
60	0.3204614038
61	0.3196567515
62	0.3188157693
63	0.3181444758
64	0.3175578125
65	0.3171478528
66	0.3166773406
67	0.3162399779
68	0.3158270203
69	0.3150844915
70	0.3146220151
71	0.314198971
72	0.3137349726
73	0.3130736763
74	0.3127309077
75	0.3122409231
76	0.3117588582
77	0.3114096347
78	0.3109657825
79	0.3103659865
80	0.3100485586
81	0.3092478819
82	0.3088588302
83	0.3085591339
84	0.3081329673
85	0.3078179762
86	0.3074681925
87	0.3070206267
88	0.3067089572
89	0.3064953769
90	0.3062437365
91	0.3057100326
92	0.3054757893
93	0.3052787511
94	0.3049304936
95	0.3047320918
96	0.3044871698
97	0.3041149324
98	0.3038799429
99	0.303639386
100	0.3034110785
101	0.3031632029
102	0.3027523467
103	0.302408712
104	0.3021658512
105	0.3018723578
106	0.301726906
107	0.3013801786
108	0.3012087084
109	0.3010036884
110	0.3007883555
111	0.3006151772
112	0.3003762916
113	0.3001473642
114	0.2998683664
115	0.2995220065
116	0.2992291014
117	0.2989245224
118	0.2987135
119	0.2984662666
120	0.2981640699
121	0.2979252564
122	0.2977376474
123	0.2974250737
124	0.2972771615
125	0.2970207439
126	0.2968172225
127	0.2967061842
128	0.2965217163
129	0.2963133105
130	0.2960898522
131	0.2957368456
132	0.2955924974
133	0.2952804281
134	0.2950305928
135	0.2941812197
136	0.2940311396
137	0.293854019
138	0.2935892826
139	0.2934267855
140	0.293229918
141	0.293085318
142	0.2929336091
143	0.2927624159
144	0.2925422289
145	0.2924138951
146	0.2922395249
147	0.2921088279
148	0.2919242774
149	0.2912248237
150	0.2910997971
151	0.2909566991
152	0.2908292871
153	0.2907308125
154	0.2905319224
155	0.2903260104
156	0.2902340145
157	0.2901194713
158	0.2899972392
159	0.2896501139
160	0.2894812859
161	0.289294686
162	0.2891795916
163	0.2890623982
164	0.2887744253
165	0.2885058436
166	0.2883962312
167	0.2883016458
168	0.2881263106
169	0.2880095078
170	0.2878644989
171	0.2875200589
172	0.287388407
173	0.2872997325
174	0.2871790399
175	0.2868873951
176	0.2866373658
177	0.2865116608
178	0.2865013798
179	0.2864233069
180	0.2863222403
181	0.2862439137
182	0.2861089763
183	0.285980656
184	0.2858517854
185	0.2857807294
186	0.2855153141
187	0.2853874988
188	0.2852903019
189	0.2850894678
190	0.2849218802
191	0.2848368096
192	0.2847648749
193	0.2845382
194	0.2843952712
195	0.2843077866
196	0.2841950021
197	0.2840057508
198	0.2839122966
199	0.2838279912
200	0.2837190128
201	0.2836458149
202	0.2835550772
203	0.2834155025
204	0.2832103965
205	0.283153849
206	0.2830243801
207	0.2829155547
208	0.2827809217
209	0.2826810421
210	0.2825583876
211	0.282469854
212	0.2823904118
213	0.282284429
214	0.2821642401
215	0.2820044266
216	0.281876035
217	0.2818129592
218	0.2816434669
219	0.2815433093
220	0.2814167727
221	0.2812969719
222	0.2812115775
223	0.2811148719
224	0.280991265
225	0.2808656405
226	0.2807685629
227	0.2807103063
228	0.2805587465
229	0.2804857765
230	0.2803884352
231	0.2802818398
232	0.2802070897
233	0.2801169813
234	0.2799740449
235	0.2798935261
236	0.2798056703
237	0.2796862997
238	0.279603763
239	0.2795094842
240	0.2794274478
241	0.2792856274
242	0.2791693479
243	0.2790743133
244	0.2788279941
245	0.2787358643
246	0.2786466954
247	0.2784567309
248	0.2783384402
249	0.2782290363
250	0.2780493367
251	0.2779312827
252	0.2776271352
253	0.2775167144
254	0.2773844182
255	0.2773097152
256	0.276964484
257	0.2768682928
258	0.2768055082
259	0.2767324963
260	0.276501151
261	0.2764080481
262	0.2762225786
263	0.276164612
264	0.2760258384
265	0.2759337488
266	0.2756045839
267	0.27519368
268	0.2750968227
269	0.2750045297
270	0.2749070141
271	0.2748191883
272	0.2747208067
273	0.2746117339
274	0.2745164346
275	0.2744286091
276	0.2743424819
277	0.2742183345
278	0.2741286469
279	0.2740596287
280	0.2739730098
281	0.2738712487
282	0.2738035042
283	0.2736794902
284	0.2735158337
285	0.2734451786
286	0.2733705684
287	0.2733091065
288	0.2732332769
289	0.2731369643
290	0.2728974196
291	0.2728063108
292	0.2726763641
293	0.2725730867
294	0.2722833176
295	0.2720072469
296	0.2719381335
297	0.2718671697
298	0.2717842804
299	0.2715771659
300	0.27146242
301	0.2713712647
302	0.271196784
303	0.2711210963
304	0.2710379183
305	0.2709603636
306	0.270884506
307	0.2707914113
308	0.2707126544
309	0.2706665667
310	0.2704896153
311	0.270414636
312	0.2703487554
