iter	Passed	Remaining
0	12	12060
1	22	11118
2	36	12161
3	51	12908
4	64	12782
5	74	12393
6	86	12298
7	98	12167
8	112	12440
9	127	12612
10	140	12634
11	151	12477
12	166	12636
13	177	12471
14	192	12634
15	205	12648
16	218	12654
17	228	12471
18	241	12459
19	254	12487
20	273	12749
21	287	12782
22	296	12611
23	309	12588
24	320	12497
25	333	12486
26	349	12608
27	370	12869
28	388	13006
29	403	13051
30	417	13049
31	430	13036
32	445	13066
33	458	13018
34	472	13020
35	494	13250
36	508	13233
37	524	13282
38	541	13343
39	558	13397
40	572	13382
41	586	13376
42	604	13453
43	622	13523
44	638	13554
45	653	13548
46	664	13481
47	676	13418
48	690	13397
49	702	13349
50	714	13286
51	727	13270
52	751	13428
53	767	13438
54	777	13354
55	794	13386
56	810	13414
57	823	13378
58	838	13379
59	850	13332
60	864	13302
61	879	13300
62	895	13311
63	915	13392
64	932	13412
65	950	13458
66	971	13522
67	984	13494
68	1005	13571
69	1023	13599
70	1042	13640
71	1057	13634
72	1072	13617
73	1088	13619
74	1100	13573
75	1117	13585
76	1135	13613
77	1151	13614
78	1166	13596
79	1180	13571
80	1193	13545
81	1211	13562
82	1225	13537
83	1238	13508
84	1254	13503
85	1268	13483
86	1282	13460
87	1301	13491
88	1316	13472
89	1326	13417
90	1337	13355
91	1354	13364
92	1368	13343
93	1383	13336
94	1397	13309
95	1407	13257
96	1421	13229
97	1433	13195
98	1449	13188
99	1465	13188
100	1478	13161
101	1491	13127
102	1504	13101
103	1520	13099
104	1535	13091
105	1549	13070
106	1562	13039
107	1574	13003
108	1590	13000
109	1610	13026
110	1628	13042
111	1640	13003
112	1650	12953
113	1664	12940
114	1680	12933
115	1692	12900
116	1711	12919
117	1728	12922
118	1744	12913
119	1757	12889
120	1775	12901
121	1788	12874
122	1798	12826
123	1810	12792
124	1824	12768
125	1841	12771
126	1862	12806
127	1876	12781
128	1887	12741
129	1896	12691
130	1908	12658
131	1919	12623
132	1929	12577
133	1943	12560
134	1955	12532
135	1968	12504
136	1981	12479
137	1995	12466
138	2008	12442
139	2022	12425
140	2037	12411
141	2048	12375
142	2062	12357
143	2075	12336
144	2089	12319
145	2100	12284
146	2111	12250
147	2123	12225
148	2136	12201
149	2150	12183
150	2160	12147
151	2173	12125
152	2186	12105
153	2196	12068
154	2207	12034
155	2219	12006
156	2230	11974
157	2244	11962
158	2259	11949
159	2271	11927
160	2283	11898
161	2293	11862
162	2309	11861
163	2323	11843
164	2338	11832
165	2351	11812
166	2365	11799
167	2378	11780
168	2390	11756
169	2404	11739
170	2417	11721
171	2429	11695
172	2445	11690
173	2459	11676
174	2474	11664
175	2487	11647
176	2501	11631
177	2514	11612
178	2524	11576
179	2536	11554
180	2547	11528
181	2560	11508
182	2571	11478
183	2583	11455
184	2607	11485
185	2622	11476
186	2637	11468
187	2650	11448
188	2666	11439
189	2678	11419
190	2692	11404
191	2704	11381
192	2717	11364
193	2731	11346
194	2746	11336
195	2764	11341
196	2776	11317
197	2786	11288
198	2799	11270
199	2814	11256
200	2824	11228
201	2838	11211
202	2849	11186
203	2862	11169
204	2877	11157
205	2890	11140
206	2900	11112
207	2912	11090
208	2924	11069
209	2941	11066
210	2952	11041
211	2966	11027
212	2980	11011
213	2994	10996
214	3010	10991
215	3023	10972
216	3033	10944
217	3046	10928
218	3060	10914
219	3074	10898
220	3084	10872
221	3101	10869
222	3125	10889
223	3135	10862
224	3147	10842
225	3163	10832
226	3174	10811
227	3185	10785
228	3201	10778
229	3212	10756
230	3225	10738
231	3240	10727
232	3256	10718
233	3271	10709
234	3284	10690
235	3298	10678
236	3308	10652
237	3323	10641
238	3334	10616
239	3345	10592
240	3355	10568
241	3369	10552
242	3382	10536
